method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
Distribution of terms (baseline),0,0.48,0.0,20.0,0.1,True,1
Distribution of terms (baseline),0,0.44321608040201005,0.0,20.0,0.1,True,2
Distribution of terms (baseline),0,0.431266846361186,0.0,20.0,0.1,True,3
Distribution of terms (baseline),0,0.39508700102354144,0.0,20.0,0.1,True,4
Distribution of terms (baseline),0,0.3642439431913116,0.0,20.0,0.1,True,5
Distribution of terms (baseline),0,0.3364385524901469,0.0,20.0,0.1,True,6
Distribution of terms (baseline),0,0.31758697733801466,0.0,20.0,0.1,True,7
Distribution of terms (baseline),0,0.3087678415380134,0.0,20.0,0.1,True,8
Distribution of terms (baseline),0,0.30719131614654005,0.0,20.0,0.1,True,9
Distribution of terms (baseline),0,0.30380071905495637,0.0,20.0,0.1,True,10
Distribution of terms (baseline),1,0.496,0.0,20.0,0.1,True,1
Distribution of terms (baseline),1,0.44488977955911824,0.0,20.0,0.1,True,2
Distribution of terms (baseline),1,0.42876344086021506,0.0,20.0,0.1,True,3
Distribution of terms (baseline),1,0.3888888888888889,0.0,20.0,0.1,True,4
Distribution of terms (baseline),1,0.3651521467278033,0.0,20.0,0.1,True,5
Distribution of terms (baseline),1,0.3348904060366511,0.0,20.0,0.1,True,6
Distribution of terms (baseline),1,0.31828370156900415,0.0,20.0,0.1,True,7
Distribution of terms (baseline),1,0.3090430201931519,0.0,20.0,0.1,True,8
Distribution of terms (baseline),1,0.30973209404045926,0.0,20.0,0.1,True,9
Distribution of terms (baseline),1,0.30693581780538304,0.0,20.0,0.1,True,10
Distribution of terms (baseline),2,0.536,0.0,20.0,0.1,True,1
Distribution of terms (baseline),2,0.45774647887323944,0.0,20.0,0.1,True,2
Distribution of terms (baseline),2,0.43821742066171504,0.0,20.0,0.1,True,3
Distribution of terms (baseline),2,0.40575243965074476,0.0,20.0,0.1,True,4
Distribution of terms (baseline),2,0.3802105263157895,0.0,20.0,0.1,True,5
Distribution of terms (baseline),2,0.35068691250903833,0.0,20.0,0.1,True,6
Distribution of terms (baseline),2,0.3280746941403735,0.0,20.0,0.1,True,7
Distribution of terms (baseline),2,0.3182086034177961,0.0,20.0,0.1,True,8
Distribution of terms (baseline),2,0.31858163826278174,0.0,20.0,0.1,True,9
Distribution of terms (baseline),2,0.31583051728619704,0.0,20.0,0.1,True,10
Distribution of terms (baseline),3,0.466,0.0,20.0,0.1,True,1
Distribution of terms (baseline),3,0.403420523138833,0.0,20.0,0.1,True,2
Distribution of terms (baseline),3,0.3945945945945946,0.0,20.0,0.1,True,3
Distribution of terms (baseline),3,0.3681771369721936,0.0,20.0,0.1,True,4
Distribution of terms (baseline),3,0.34667228306655434,0.0,20.0,0.1,True,5
Distribution of terms (baseline),3,0.3140376266280753,0.0,20.0,0.1,True,6
Distribution of terms (baseline),3,0.29977412068409165,0.0,20.0,0.1,True,7
Distribution of terms (baseline),3,0.2886142983230362,0.0,20.0,0.1,True,8
Distribution of terms (baseline),3,0.29001367989056087,0.0,20.0,0.1,True,9
Distribution of terms (baseline),3,0.28789446456285567,0.0,20.0,0.1,True,10
Distribution of terms (baseline),4,0.536,0.0,20.0,0.1,True,1
Distribution of terms (baseline),4,0.47843530591775324,0.0,20.0,0.1,True,2
Distribution of terms (baseline),4,0.432505036937542,0.0,20.0,0.1,True,3
Distribution of terms (baseline),4,0.39420142421159715,0.0,20.0,0.1,True,4
Distribution of terms (baseline),4,0.3638624119353502,0.0,20.0,0.1,True,5
Distribution of terms (baseline),4,0.3347517730496454,0.0,20.0,0.1,True,6
Distribution of terms (baseline),4,0.3162878787878788,0.0,20.0,0.1,True,7
Distribution of terms (baseline),4,0.302540415704388,0.0,20.0,0.1,True,8
Distribution of terms (baseline),4,0.30213110331804693,0.0,20.0,0.1,True,9
Distribution of terms (baseline),4,0.29992329327537715,0.0,20.0,0.1,True,10
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.654,0.0,1.0,0.0,True,1
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.6211055276381909,0.0,1.0,0.0,True,2
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.545822102425876,0.0,1.0,0.0,True,3
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.49334698055271237,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.4665831244778613,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.4381941956288069,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.4104691988509416,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.3979027090008739,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.39077340569877883,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",0,0.3787878787878788,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.68,0.0,1.0,0.0,True,1
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.6232464929859719,0.0,1.0,0.0,True,2
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.5241935483870968,0.0,1.0,0.0,True,3
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.4969418960244648,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.46686119216340144,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.43873517786561267,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.4153057957092539,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.40210711150131695,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.39338436303991253,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",1,0.3863871635610766,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.714,0.0,1.0,0.0,True,1
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.6297786720321932,0.0,1.0,0.0,True,2
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.537474679270763,0.0,1.0,0.0,True,3
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.5028248587570622,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.4770526315789474,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.44396240057845265,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.4191886670959433,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.40689451974071894,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.4007696536558549,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",2,0.39277358981024174,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.632,0.0,1.0,0.0,True,1
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.5643863179074446,0.0,1.0,0.0,True,2
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.5006756756756757,0.0,1.0,0.0,True,3
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.47167868177136973,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.44734625105307496,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.4142547033285094,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.39367537915456596,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.3815828184760224,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.36963064295485637,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",3,0.3618727366787377,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.68,0.0,1.0,0.0,True,1
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.6379137412236711,0.0,1.0,0.0,True,2
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.5413028878441908,0.0,1.0,0.0,True,3
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.49949135300101727,0.0,1.0,0.0,True,4
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.4703688354745131,0.0,1.0,0.0,True,5
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.43617021276595747,0.0,1.0,0.0,True,6
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.4125631313131313,0.0,1.0,0.0,True,7
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.398094688221709,0.0,1.0,0.0,True,8
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.39223091448610736,0.0,1.0,0.0,True,9
"CLIP,ms=0.0,r=1,al=0.0,ts=True",4,0.3853234466888264,0.0,1.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.898,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.8442211055276382,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.7776280323450134,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.7205731832139202,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.681704260651629,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.6474381941956288,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.6233641876795404,0.0,8.0,0.0,True,7
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.6009321293329449,0.0,8.0,0.0,True,8
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.5818181818181818,0.0,8.0,0.0,True,9
"CLIP,ms=0.0,r=8,al=0.0,ts=True",0,0.5685670261941448,0.0,8.0,0.0,True,10
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.884,0.0,8.0,0.0,True,1
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.8226452905811623,0.0,8.0,0.0,True,2
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.7647849462365591,0.0,8.0,0.0,True,3
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.7084607543323139,0.0,8.0,0.0,True,4
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.6673614005835765,0.0,8.0,0.0,True,5
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.6363636363636364,0.0,8.0,0.0,True,6
"CLIP,ms=0.0,r=8,al=0.0,ts=True",1,0.6128722382324687,0.0,8.0,0.0,True,7
